Channel ID,Channel URL,Channel title
UC-Hm8vtPdB9DDVFEOJMwBzg,https://www.youtube.com/channel/UC-Hm8vtPdB9DDVFEOJMwBzg,"Tamil cinema"
UC-J-KZfRV8c13fOCkhXdLiQ,https://www.youtube.com/channel/UC-J-KZfRV8c13fOCkhXdLiQ,"Dua Lipa"
UC-Lq6oBPTgTXT_K-ylWL6hg,https://www.youtube.com/channel/UC-Lq6oBPTgTXT_K-ylWL6hg,"Food Lovers TV"
UC-VPf3yXgkbjH6PFKQBblYg,https://www.youtube.com/channel/UC-VPf3yXgkbjH6PFKQBblYg,"Saikiran"
UC0QHWhjbe5fGJEPz3sVb6nw,https://www.youtube.com/channel/UC0QHWhjbe5fGJEPz3sVb6nw,"Doctor Mike"
UC0SFbdQ2CaYrMtSnJ3-B11A,https://www.youtube.com/channel/UC0SFbdQ2CaYrMtSnJ3-B11A,"Sailor Maruthi"
UC131rygtER0Lm1t_QFNQKZA,https://www.youtube.com/channel/UC131rygtER0Lm1t_QFNQKZA,"Video Tech Explained"
UC1GCDa65yQ2juOaNmtQvr2A,https://www.youtube.com/channel/UC1GCDa65yQ2juOaNmtQvr2A,"sivasri manikandasivam"
UC1cbIS7V40JbAoLZ7t_27_A,https://www.youtube.com/channel/UC1cbIS7V40JbAoLZ7t_27_A,"Indian Couple Truck Driver"
UC22BdTgxefuvUivrjesETjg,https://www.youtube.com/channel/UC22BdTgxefuvUivrjesETjg,"History Matters"
UC2MrBc99_fYgkel3nHOvIKA,https://www.youtube.com/channel/UC2MrBc99_fYgkel3nHOvIKA,"Lise Leblanc"
UC2V6wM7IgTdB2SZjTN9W1jw,https://www.youtube.com/channel/UC2V6wM7IgTdB2SZjTN9W1jw,"Shivangi Singh"
UC2wdo5vU7bPBNzyC2nnwmNQ,https://www.youtube.com/channel/UC2wdo5vU7bPBNzyC2nnwmNQ,"Cutting Edge Engineering Australia"
UC3XTzVzaHQEd30rQbuvCtTQ,https://www.youtube.com/channel/UC3XTzVzaHQEd30rQbuvCtTQ,"LastWeekTonight"
UC3rFZoOXU31LOQZc5hznamA,https://www.youtube.com/channel/UC3rFZoOXU31LOQZc5hznamA,"RajBhuv Vlogs"
UC4-GrpQBx6WCGwmwozP744Q,https://www.youtube.com/channel/UC4-GrpQBx6WCGwmwozP744Q,"USENIX"
UC4GV1pS9ZY6lqNzCZFdVcog,https://www.youtube.com/channel/UC4GV1pS9ZY6lqNzCZFdVcog,"Valmafra Lenande"
UC4nDpH0XZtlk0kXr11G_cHQ,https://www.youtube.com/channel/UC4nDpH0XZtlk0kXr11G_cHQ,"Srirangam Ravi"
UC55S3Sz4k505P8o5YrCgAYA,https://www.youtube.com/channel/UC55S3Sz4k505P8o5YrCgAYA,"Trip Bitten"
UC5HJaVyYgo7WPCvIBchRBzQ,https://www.youtube.com/channel/UC5HJaVyYgo7WPCvIBchRBzQ,"The Problem With Jon Stewart"
UC5NOEUbkLheQcaaRldYW5GA,https://www.youtube.com/channel/UC5NOEUbkLheQcaaRldYW5GA,"tagesschau"
UC5Va8SDMp-yviytKMh9YaNQ,https://www.youtube.com/channel/UC5Va8SDMp-yviytKMh9YaNQ,"Touring Talkies"
UC5ebo42ydvAayGn2Z4Lf9XA,https://www.youtube.com/channel/UC5ebo42ydvAayGn2Z4Lf9XA,"Uncut"
UC6DFoiqfqhCbU6fElNI9sFg,https://www.youtube.com/channel/UC6DFoiqfqhCbU6fElNI9sFg,"Lokführer Marcel"
UC77FGFu9_FM3Cdzldbfa8Aw,https://www.youtube.com/channel/UC77FGFu9_FM3Cdzldbfa8Aw,"Michael Raj"
UC7IcJI8PUf5Z3zKxnZvTBog,https://www.youtube.com/channel/UC7IcJI8PUf5Z3zKxnZvTBog,"The School of Life"
UC7JNNXRfLWcDv1a6msdRfJQ,https://www.youtube.com/channel/UC7JNNXRfLWcDv1a6msdRfJQ,"HR Travel"
UC7_gcs09iThXybpVgjHZ_7g,https://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g,"PBS Space Time"
UC7k9wdrNtKrCY7L6TriAjXA,https://www.youtube.com/channel/UC7k9wdrNtKrCY7L6TriAjXA,"Media Circle"
UC81BxUCw12jtyvdyv6Hxh-g,https://www.youtube.com/channel/UC81BxUCw12jtyvdyv6Hxh-g,"Chief MAKOi"
UC87t3AtgLCHKE4E9C6tIywQ,https://www.youtube.com/channel/UC87t3AtgLCHKE4E9C6tIywQ,"With love vj lilly"
UC8CLThsPAiYDWo4emAoaWbQ,https://www.youtube.com/channel/UC8CLThsPAiYDWo4emAoaWbQ,"Moviecaps"
UC8Lt51rjGS_RbGQsta-xiEQ,https://www.youtube.com/channel/UC8Lt51rjGS_RbGQsta-xiEQ,"Nishant Suri"
UC8_aMwsn53tncdH-5iLu8-w,https://www.youtube.com/channel/UC8_aMwsn53tncdH-5iLu8-w,"Empty Hand"
UC8uj-UFGDzAx3RfPzeRqnyA,https://www.youtube.com/channel/UC8uj-UFGDzAx3RfPzeRqnyA,"Finshots TV"
UC9Kq-yEt1iYsbUzNOoIRK0g,https://www.youtube.com/channel/UC9Kq-yEt1iYsbUzNOoIRK0g,"Pitch Meeting"
UC9Ta8RQydQwHdFwzYt9cnYg,https://www.youtube.com/channel/UC9Ta8RQydQwHdFwzYt9cnYg,"Mock The Week"
UC9k-yiEpRHMNVOnOi_aQK8w,https://www.youtube.com/channel/UC9k-yiEpRHMNVOnOi_aQK8w,"Inside Edition"
UC9x0AN7BWHpCDHSm9NiJFJQ,https://www.youtube.com/channel/UC9x0AN7BWHpCDHSm9NiJFJQ,"NetworkChuck"
UCAOTrwBpQ3EKerwAYaBpKVA,https://www.youtube.com/channel/UCAOTrwBpQ3EKerwAYaBpKVA,"Sejal Bhat"
UCAPPN8EK6NSxON6wyBdt0_Q,https://www.youtube.com/channel/UCAPPN8EK6NSxON6wyBdt0_Q,"FWF - Fun with Fabby"
UCAVu1MQpo8u08Lv_4V4AmGA,https://www.youtube.com/channel/UCAVu1MQpo8u08Lv_4V4AmGA,"Sanghmitra mishra"
UCAYum5hCyfkSH5T3vSD_kwQ,https://www.youtube.com/channel/UCAYum5hCyfkSH5T3vSD_kwQ,"Aakash Gupta"
UCBHQPOr6BE3-G90a9wB1J3g,https://www.youtube.com/channel/UCBHQPOr6BE3-G90a9wB1J3g,"Priya Sharma"
UCBJycsmduvYEL83R_U4JriQ,https://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,"Marques Brownlee"
UCBeZYVlqOeSSlrBSXl4aTig,https://www.youtube.com/channel/UCBeZYVlqOeSSlrBSXl4aTig,"Pilot Debrief"
UCBzai1GXVKDdVCrwlKZg_6Q,https://www.youtube.com/channel/UCBzai1GXVKDdVCrwlKZg_6Q,"PULS Reportage"
UCC4-ZaL0W1R-8MQjKQOujhg,https://www.youtube.com/channel/UCC4-ZaL0W1R-8MQjKQOujhg,"BsianTech"
UCCMUnWvJyTEUunnygpTGfow,https://www.youtube.com/channel/UCCMUnWvJyTEUunnygpTGfow,"Araathi"
UCClfsa2ZA60lfFBSEgs2_Lg,https://www.youtube.com/channel/UCClfsa2ZA60lfFBSEgs2_Lg,"Niv Prakasam"
UCCljzsYpepeNeY-nKPBKnhA,https://www.youtube.com/channel/UCCljzsYpepeNeY-nKPBKnhA,"Hessischer Rundfunk"
UCD1OW2T_f7G6UK-uceKTZwQ,https://www.youtube.com/channel/UCD1OW2T_f7G6UK-uceKTZwQ,"Shubham Kumar"
UCDUF0xHdhKQiw27LVjCpTPg,https://www.youtube.com/channel/UCDUF0xHdhKQiw27LVjCpTPg,"Ungal K.Bhagyaraj"
UCEF-9XhkdyFY0hMRUkmxXfQ,https://www.youtube.com/channel/UCEF-9XhkdyFY0hMRUkmxXfQ,"Simply Aviation"
UCEIs9nkveW9WmYtsOcJBwTg,https://www.youtube.com/channel/UCEIs9nkveW9WmYtsOcJBwTg,"Itchy Boots"
UCEX7TpIRNwShRAwoqVWpIrA,https://www.youtube.com/channel/UCEX7TpIRNwShRAwoqVWpIrA,"A-Graha Mom & Co."
